"grade","dimension","dim","code","statement","orig_dimension","orig_dim"
"3,4,5","Developing Questions & Planning Inquiries","DQPI","D1.1.3-5","Explain why compelling questions are important to others (e.g., peers, adults).","Developing Questions & Planning Inquiries","DQPI"
"6,7,8","Developing Questions & Planning Inquiries","DQPI","D1.1.6-8","Explain how a question represents key ideas in the field.","Developing Questions & Planning Inquiries","DQPI"
"9,10,11,12","Developing Questions & Planning Inquiries","DQPI","D1.1.9-12","Explain how a question reflects an enduring issue in the field.","Developing Questions & Planning Inquiries","DQPI"
"K,1,2","Developing Questions & Planning Inquiries","DQPI","D1.1.K-2","Explain why the compelling question is important to the student.","Developing Questions & Planning Inquiries","DQPI"
"3,4,5","Developing Questions & Planning Inquiries","DQPI","D1.2.3-5","Identify disciplinary concepts and ideas associated with a compelling question that are open to different interpretations.","Developing Questions & Planning Inquiries","DQPI"
"6,7,8","Developing Questions & Planning Inquiries","DQPI","D1.2.6-8","Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.","Developing Questions & Planning Inquiries","DQPI"
"9,10,11,12","Developing Questions & Planning Inquiries","DQPI","D1.2.9-12","Explain points of agreement and disagreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a compelling question.","Developing Questions & Planning Inquiries","DQPI"
"K,1,2","Developing Questions & Planning Inquiries","DQPI","D1.2.K-2","Identify disciplinary ideas associated with a compelling question.","Developing Questions & Planning Inquiries","DQPI"
"3,4,5","Developing Questions & Planning Inquiries","DQPI","D1.3.3-5","Identify the disciplinary concepts and ideas associated with a supporting question that are open to interpretation.","Developing Questions & Planning Inquiries","DQPI"
"6,7,8","Developing Questions & Planning Inquiries","DQPI","D1.3.6-8","Explain points of agreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.","Developing Questions & Planning Inquiries","DQPI"
"9,10,11,12","Developing Questions & Planning Inquiries","DQPI","D1.3.9-12","Explain points of agreement and disagreement experts have about interpretations and applications of disciplinary concepts and ideas associated with a supporting question.","Developing Questions & Planning Inquiries","DQPI"
"K,1,2","Developing Questions & Planning Inquiries","DQPI","D1.3.K-2","Identify facts and concepts associated with a supporting question.","Developing Questions & Planning Inquiries","DQPI"
"3,4,5","Developing Questions & Planning Inquiries","DQPI","D1.4.3-5","Explain how supporting questions help answer compelling questions in an inquiry.","Developing Questions & Planning Inquiries","DQPI"
"6,7,8","Developing Questions & Planning Inquiries","DQPI","D1.4.6-8","Explain how the relationship between supporting questions and compelling questions is mutually reinforcing.","Developing Questions & Planning Inquiries","DQPI"
"9,10,11,12","Developing Questions & Planning Inquiries","DQPI","D1.4.9-12","Explain how supporting questions contribute to an inquiry and how, through engaging source work, new compelling and supporting questions emerge.","Developing Questions & Planning Inquiries","DQPI"
"K,1,2","Developing Questions & Planning Inquiries","DQPI","D1.4.K-2","Make connections between supporting questions and compelling questions.","Developing Questions & Planning Inquiries","DQPI"
"3,4,5","Civics, Economics, Geography & History","CEGH","D2.Civ.1.3-5","Distinguish the responsibilities and powers of government officials at various levels and branches of government and in different times and places.","Applying Disciplinary Concepts & Tools","ADCT"
"6,7,8","Civics, Economics, Geography & History","CEGH","D2.Civ.1.6-8","Distinguish the powers and responsibilities of citizens, political parties, interest groups, and the media in a variety of governmental and nongovernmental contexts.","Applying Disciplinary Concepts & Tools","ADCT"
"9,10,11,12","Civics, Economics, Geography & History","CEGH","D2.Civ.1.9-12","Distinguish the powers and responsibilities of local, state, tribal, national, and international civic and political institutions.","Applying Disciplinary Concepts & Tools","ADCT"
"K,1,2","Civics, Economics, Geography & History","CEGH","D2.Civ.1.K-2","Describe roles and responsibilities of people in authority.","Applying Disciplinary Concepts & Tools","ADCT"
